"","school","survey_comments"
"1","Agia Sophia Academy – Beaverton","We are a small school - 50 students total.  We'd love to partner with other small schools to make outdoor school affordable / possible for us :)"
"2","Albany Christian School – Albany","I don't really know a whole lot about it."
"3","Aloha-Huber Park School – Aloha","ODS has been a very important program to our schooI. It offers unique and enriching opportunities to our high poverty, culturally diverse, and high achieving student population. It is among the most memorable experiences for our students when they graduate."
"4","Alsea Elementary School – Alsea","Our organization has worked well for 26 years and made changes as the need has arisen.  We are meeting this summer to make sure more of our classes meet standards and doing some tweaking if necessary as we have done for years.  We hope that we don't have somebody come in and tell us we must change our system.  We have a pretty strong team of six schools who have worked well together for many years.  Please feel free to call, if you would like more information or if I can answer questions."
"5","Amity Elementary School – Amity","I have directed our program for over 20 years and see it as highly successful and valuable as a part of our educational program.  I am excited that there may be help funding the program as our students fundraise the total cost for our program."
"6","Applegate Elementary School – Eugene","This would be nice if funding is available and the time to organize the activity."
"7","Athey Creek Middle School – West Linn","I really appreciate the opportunity for students to attend outdoor school. It is incredible valuable for students to have the experience of seeing and looking into an environment they don't often look into. However, I also believe the outdoor school programs we have attended through NWRSED seem to focus too much on the learning of too many small factoids that, while relevant to the outdoor location and our middle school standards, I could teach students in the class. I think their program could benefit from a shift in focus towards observation and inquiry into the environment around them. I've spent most of my professional career working with students in the natural world from time to time, often with kids who never go outdoors. Really, when students head into these unfamiliar environments for the first time, they need the time to slow down and observe what is around them. A good program, in my mind, structures for that. Less transitioning from place to place, and longer time to observe, journal, communicate observations, develop inquiry into the natural world based on those questions and observations, collect data, make comparisons, and draw conclusions. 

That being said, I don't want to downplay how good of a job the NWRESD staff does at engaging students and keeping them interested throughout the week. My students always return with positive views of their experience and having learned more than they arrived at camp with. I just think as a science instructor, I see a wonderful opportunity in outdoor school for students to think like a scientist working in the field things, and believe the programming the state promotes should develop with focused attention on the inquiry and engineering standards, not content specific facts. I also think we as science teachers could do a lot of content specific prep to build some initial background knowledge so students arrive at camp. If the camps could provide that to us beforehand, then students would have a content foundation to build inquiry around."
"8","Banks Elementary School – Banks","Great program for kids, improvement is needed in the recruitment and training of high quality high school counselors. High school teachers could be more supportive in encouraging quality students to miss a week of class to volunteer at outdoor school."
"9","Bethany Charter School – Silverton","This year we are attending Camp Macgruder in Rockaway Beach"
"10","Black Butte Elementary School – Camp Sherman","We do many components of outdoor school all year long including hiking, camping, teambuilding, and experiential adventures. Outdoor school shouldn't just be a 3 day experience. It can happen all year long."
"11","Bridgeport Elementary School – Tualatin","Typically has been a 6th grade adventure, not 5th in TTSD."
"12","Butte Creek Elementary School – Mt Angel","We've worked very hard over the years to provide an ODS experience at very little to no cost to families, so we appreciate what it provides our students."
"13","Cascades Academy – Bend","As an independent school with an experiential model, our program includes activities similar to ODS that we plan and implement. Our students go on traveling school annually beginning in 2nd grade, bi-annually beginning in 4th grade. We also do a day ""outdoor school"" program in the spring for all of our lower school students PK-5th. 
***
Speaking entirely personally for a moment, I grew up in Tillamook with fantastic ODS experiences, both as a camper, and as a repeat high school counselor. I am so grateful that there are people in the state committed to continuing these opportunities for future generations of Oregonians."
