"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"1","Abiqua School","Yes","None",NA,"Private",0,1,62,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0652661,44.8541593
"2","Abraham Lincoln Elementary School","Yes","Medford SD 549C","Southern Oregon ESD","Public",0,1,61,"Coastal Discovery Center at Camp Gray","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8371293,42.3631217
"3","Adams Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",1,0,52,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.288431,44.5512401
"4","Adams Elementary School","Yes","Eugene SD 4J","Lane ESD","Public",1,0,64,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1079449,44.0349581
"5","Adrian Elementary School","Yes","Adrian SD 61","Malheur ESD Region 14","Public",0,1,25,"McCall Outdoor Science School","5","4","Yes, and it CONNECTS TO STATE STANDARDS",NA,-117.0709903,43.7414763
"6","Advanced Christian Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.4228701,45.5140983
"7","Adventist Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-121.761616,42.228909
"8","Agia Sophia Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.8258702,45.5134675
"9","Agnes Stewart Middle School","Yes","Springfield SD 19","Lane ESD","Public",0,1,200,"Kiwanis Sky Camp","2","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9822257,44.0378031
"10","Aiken Elementary School","No","Ontario SD 8C","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-116.983104,44.028985
"11","Alameda Elementary School","No","Ontario SD 8C","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-116.981799,44.017568
"12","Alameda Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,52,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6373356,45.5477062
"13","Albany Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.1000413,44.6359929
"14","Alder Creek Middle School","Yes","North Clackamas SD 12","Clackamas ESD","Public",0,1,330,"Cedar Ridge, Trickle Creek, Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5946087,45.4232298
"15","Alice Ott Middle School","Yes","David Douglas SD 40","Multnomah ESD","Public",0,1,176,"Camp Arrah Wanna","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5346485,45.4794874
"16","All Saints School","Yes","None",NA,"Private",0,1,50,"Camp Arrah Wanna, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6234992,45.5273586
"17","Alliance Charter Academy","Yes","Oregon City SD 62","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.5792682,45.3737134
"18","Aloha-Huber Park School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,56,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8538441,45.483953
