School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Abernethy Elementary School – Portland,Abernethy Elementary School,Portland SD 1J,Multnomah ESD,,2421 SE Orange Ave,Portland,OR,97214,Multnomah,503-916-6190,K,5,Elementary,Public,Regular School,822,Principal,Heather Hull,hhull@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,513,519,267,51.4%,252,48.6%,,0%,13,2.5%,1,0.2%,2,0.4%,28,5.4%,430,82.9%,45,8.7%,85,95,86,99,76,78,,,,,,,,false,
Abiqua School – Salem,Abiqua School,,,,6974 Bates Rd S,Salem,OR,97306,Marion,503-399-9020,PK,12,Other,Private,Regular School,,,,info@abiquaacademy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Abraham Lincoln Elementary School – Medford,Abraham Lincoln Elementary School,Medford SD 549C,Southern Oregon ESD,,3101 McLoughlin Dr,Medford,OR,97504,Jackson,541-842-3730,K,6,Elementary,Public,Regular School,1350,Principal,Megan Young,megan.young@medford.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,499,501,264,52.7%,237,47.3%,,0%,9,1.8%,,0%,1,0.2%,69,13.8%,396,79%,26,5.2%,65,76,93,71,75,58,63,,,,,,,false,
Academy for Character Education – Cottage Grove,Academy for Character Education,South Lane SD 45J3,Lane ESD,,195 N 6th Street,Cottage Grove,OR,97424,Lane,541-942-9707,K,12,Other,Public,Charter School,4555,Director,Ranell Curl,busmgr@aceclassicaled.org,,,,,,,,,,,,,,,,,,,,,,,,,164,180,77,42.8%,103,57.2%,,0%,5,2.8%,,0%,5,2.8%,6,3.3%,154,85.6%,10,5.6%,14,16,18,19,18,16,15,21,16,11,9,4,3,false,
Adams Elementary School – Corvallis,Adams Elementary School,Corvallis SD 509J,Linn Benton Lincoln ESD,,1615 SW 35th St,Corvallis,OR,97333,Benton,541-757-5938,K,5,Elementary,Public,Regular School,27,Principal,Byron Bethards,byron.bethards@corvallis.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,398,409,213,52.1%,196,47.9%,6,1.5%,23,5.6%,2,0.5%,9,2.2%,13,3.2%,327,80%,29,7.1%,71,61,73,68,80,56,,,,,,,,false,
Adams Elementary School – Eugene,Adams Elementary School,Eugene SD 4J,Lane ESD,,950 W 22nd Ave,Eugene,OR,97405,Lane,541-790-5000,K,5,Elementary,Public,Regular School,503,Principal,Kevin Gordon,gordon_k@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,471,462,226,48.9%,236,51.1%,2,0.4%,11,2.4%,3,0.6%,7,1.5%,35,7.6%,370,80.1%,34,7.4%,69,85,72,84,78,74,,,,,,,,false,
Adel Elementary School – Adel,Adel Elementary School,Adel SD 21,Lake ESD,,18286 Twenty Mile Rd,Adel,OR,97620,Lake,541-947-5818,4,8,Elementary,Public,Regular School,498,Principal,Bob Nash,bnash@lakeesd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,66.7%,3,33.3%,1,11.1%,,0%,,0%,,0%,,0%,8,88.9%,,0%,,,,,2,2,4,,1,,,,,false,
Adrian Elementary School – Adrian,Adrian Elementary School,Adrian SD 61,Malheur ESD Region 14,,207 Owyhee St.,Adrian,OR,97901,Malheur,541-372-2337,K,8,Elementary,Public,Regular School,707,Principal,William Ellsworth,william.ellsworth@adrian.k12.or.us,,,Yes,25,6th grade,McCall Outdoor Science School,5,4,None,"Yes, and it CONNECTS TO STATE STANDARDS",,,,3,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,199,200,97,48.5%,103,51.5%,,0%,,0%,,0%,,0%,46,23%,152,76%,2,1%,21,17,17,27,26,22,24,23,23,,,,,true,
Advanced Christian Academy – Gresham,Advanced Christian Academy,,,,PO Box 2392,Gresham,OR,97030,Multnomah,503-912-1860,PK,8,Other,Private,Regular School,,,,advancedchristian@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Adventist Christian School – Klamath Falls,Adventist Christian School,,,,2499 Main St,Klamath Falls,OR,97601,Klamath,541-882-4151,K,8,Other,Private,Regular School,,,,None listed (see http://klamathfallsadventist22.adventistschoolconnect.org/article/15/contact-us),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
