Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Eagle Fern Camp,7 Portland-area churches,Clackamas,eagleferncamp.com,Paul Schroth,Managing Director,info@eagleferncamp.com,503-630-4978,"37700 SE Camp Rd, Estacada OR 97023",,,,,,,,,,,,,,,,,"sports recreation area, challenge course, giant swing, zipline,",,,,,,Yes*,,,117,250,30?,yes,,,,,,,,All sleeping units,"Plumbed toilets in sleeping unit, Showers in separate bathroom facility","Each cabin has its own half -bath, with a centrally located shower house that is shared by all the cabins",,,yes,"The Staff Building has beds for leaders, as well as a meeting room and the nurse’s room.","ropes course, forested areas",campfire spaces,,Access to water,waterfront and creek,,,,,,,,,"""They've now answered 3 different ways on whether they serve ODS! I think they are misinterpreting the question: answering ""yes"" that they had facilities available (""provided"") but that nobody took them up on it. Should clarify that their answer is actually ""no.""""",,,-122.2767292,45.3069927,
Camp Arrah Wanna,American Baptist Churches,Clackamas,www.camparrahwanna.org,Laura Young,Executive Director,lauray@camparrahwanna.org,5036223189,"24075 E Arrah Wanna Blvd., Welches, OR 97067","24075 E Arrah Wanna Blvd., Welches, OR 97067",Yes,MESD,"6 weeks in fall & 8 weeks in spring. Total of 3,000-3,700 ODS guests per year",,,,,,,,,,No,,,"archery, indoor gym, high ropes, low ropes, summer swimming pool",,Yes,No,No,Yes,Yes,Yes,Yes,125,265,230 winter/300 summer,Yes,"CAW Special Dietary Needs Policy Thank you for inquiring about how Camp Arrah Wanna might accommodate you and/or your campers who have special dietary needs. Serving our guests and making them feel at home is something we want to excel at, and providing adequate food options is one way to do that. Our goal is to ALWAYS have SOME offerings in this area. However, the resources we have as a truly non-­‐profit facility, serving thousands of people with various needs, are limited. So it's important for us to be clear about what items we can and cannot offer our guests in terms of special food items. Please take a moment to read the following information and let us know if you have any further questions. We look forward to serving you in this area! TIMELY COMMUNICATION The first thing that helps us serve you best is the timely relay of important information. Please be sure to submit a list of your group’s dietary needs at least 2 weeks before you arrive at CAW (the contract says 30 days, but we know there are always last minute registrations being submitted within that timeframe). Requests that are submitted less than 2 weeks prior to arrival may not be possible to accommodate. SEVERE FOOD ALLERGIES Safety is of utmost importance, so our kitchen is happy to avoid serving food items that may cause a life threatening anaphylactic reaction while your group is here. However, we cannot guarantee that contamination from an outside source is avoided. EXAMPLE: If one of your campers is severely allergic to peanuts/tree nuts, we will avoid cooking/preparing any item with those ingredients. However, many products are made/processed in factories where nuts are also prepared (flour, oatmeal, etc), so residual contamination may be an issue depending on the severity of a camper’s allergy. What we CAN provide: In addition to accommodating severe, life-­‐threatening allergies, our kitchen is typically able to provide some alternative items for people with the following restrictions: ~ Vegetarian ~ Dairy/Lactose Free ~ Gluten Free When a group notifies us, at least 2 weeks before arrival, of the number of guests with any of the above 3 allergies/restrictions, we are able to provide a few supplemental items at each meal, such as: ~ Soy/Almond/Lactose-­‐free Milk ~ Meat-­‐free substitutions ~ Gluten Free Bread & Pasta ~ Gluten Free & Dairy Free Desserts CAW Special Dietary Needs Policy We prepare and serve a full salad bar at each lunch and dinner, as well as numerous side options. Most of our buffet items are served in a way that people can ""build"" their own meals, choosing only the items they know they can eat safely. When that is not possible, we do what we can to provide a few alternatives for those with the above 3 allergies/restrictions. If a guest’s diet require more alternatives, that guest is welcome to bring some additional supplemental items. If you have dietary needs beyond these 3 allergies/restrictions, or you feel more comfortable providing some of your own individual supplements, then we are happy to provide refrigerated storage space for the supplemental food you bring/provide. Our dining hall is equipped with a microwave and refrigerator/freezer that is accessible at any time. If you would like a copy of our intended menu for the dates you will be staying at CAW, we are happy to email it to you a few days before your arrival. We reserve the right to make last-­‐minute changes depending on product availability and fluctuation in guest numbers. If you have specific menu/meal items that you would like to be served to your whole group, we will do our best to accommodate your request – as long as we receive such requests at least 30 days before your contracted arrival to CAW. What we CANNOT provide: We are not able to guarantee that our kitchen is completely free of contaminants, such as gluten, soy, dairy, sugar, etc. If one of your campers is severely affected by any of these contaminants, it is best that they provide their own supplemental food. Our kitchen staff cannot be responsible for preparing any food items that are provided by a guest unless it pertains to the above 3 allergies/restrictions. While we are happy to provide your Guest Group Leader with some food labels so they can help children avoid certain items, we do not have the staff resources to provide alternative options for people with specific dietary needs or preferences outside of the following 3 allergies/restrictions: ~ Vegetarian ~ Dairy/Lactose Free ~ Gluten Free Candy and snack items sold from our Canteen/Snack Shack may also contain allergens. We are not able to monitor which items are sold to, or should be avoided by, guests & campers. If your group has scheduled time for this activity, please inform people with dietary restrictions of the risk and their responsibility in making healthy purchases.",No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,,"Ropes course, Pool, Forested areas, Meadowland, Trails",Campfire space(s),"3 campfires, between 40-150","Access to water (lake, pond, river, stream, etc.)",Salmon River,,,Other amenities/resources,full size indoor gymnasium,,,,,,"Alice Ott Middle School – Portland, Arleta K-8 School – Portland, Clear Creek Middle School – Gresham, Da Vinci Middle School – Portland, Hosford Middle School – Portland, North Marion Middle School – Aurora, St John Fisher – Portland, The Madeleine Elementary School – Portland, West Orient Middle School – Gresham, West Sylvan Middle School – Portland, Corbett Middle School – Corbett, Creative Science School – Portland, Deep Creek K-8 School – Damascus, Roseway Heights School – Portland, St Therese School – Portland, All Saints School – Portland, Holy Redeemer Catholic School – Portland, Arata Creek School – Troutdale, Access Academy – Portland, Astor Elementary School – Portland, Beverly Cleary School – Portland, Boise-Eliot Elementary School – Portland, Faubion Elementary School – Portland, George Middle School – Portland, Lane Middle School – Portland, Lent Elementary School – Portland, Mt Tabor Middle School – Portland, Ockley Green Middle School – Portland, Scott Elementary School – Portland, Sellwood Middle School – Portland, Winterhaven School – Portland, Ron Russell Middle School – Portland",,-121.9763618,45.3479342,Rigler Elementary School – Portland
Camp Angelos,American Hellenic Educational Center (AHEC),Multnomah,www.campangelos.org,Mary Jo Brobeck,Camp Manager,maryjo@campangelos.org,5036955888,32149 SE Stevens Rd corbett OR 97019,32149 SE Stevens Rd corbett OR 97019,Yes,Multnomah County,17 weeks #'s variable,,,,,,,,,,No,,,,No,Yes,No,Negotiable,we repair as needed,No,we provide supplies,Yes,50,180,180,Yes,,Yes,Comply with ADA standards,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s), classrooms",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities, classrooms","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",We are on city water/propane tanks,"Winter, Spring, Fall",,Yes,rooms in the lodge & caboose,"Forested areas, Meadowland, Trails",Campfire space(s),1 campfire/seating for 150,"Access to water (lake, pond, river, stream, etc.)",river & fish pond,Covered outdoor spaces,2 bbq areas 20x40 & 1 porch 20x20,Other amenities/resources,We are a nonprofit organization and continue to upgrade as needed to meet the requirements of our camps,We are a nonprofit organization and continue to upgrade as needed to meet the requirements of our camps,,Mary Jo Brobeck maryjo@campangelos.org,,Campfire is not ADA accessible,"Clear Creek Middle School – Gresham, Da Vinci Middle School – Portland, Floyd Light Middle School – Portland, Gordon Russell Middle School – Gresham, Hosford Middle School – Portland, Jackson Middle School – Portland, Laurelhurst Elementary School – Portland, St Agatha Catholic School – Portland, St Thomas More School – Portland, Vernon K-8 School – Portland, Walt Morey Middle School – Troutdale, West Orient Middle School – Gresham, West Sylvan Middle School – Portland, Wheatley School – Portland, Gray Middle School – Portland, Deep Creek K-8 School – Damascus, Portland Jewish Academy – Portland, Dexter McCarty Middle School – Gresham, St Ignatius School – Portland, KNOVA Learning Oregon (Reynolds Public Charter School) – Portland, Multisensory Learning Academy – Portland, Sheridan Japanese School – Sheridan, Trillium School – Portland, Parkrose Middle School – Portland, Access Academy – Portland, Astor Elementary School – Portland, Beverly Cleary School – Portland, Faubion Elementary School – Portland, George Middle School – Portland, Harrison Park School – Portland, Lee K-8 School – Portland, Lane Middle School – Portland, Mt Tabor Middle School – Portland, Ockley Green Middle School – Portland, Four Corners Elementary School – Salem, Reynolds Middle School – Fairview, Irvington Elementary School – Portland",,-122.336048,45.5062588,
Audubon Marmot Cabin,Audubon Society of Portland,Clackamas,http://audubonportland.org/trips-classes-camps/school-programs/overnight,Ian Abraham,Camp Director/On-site Programs Manager,iabraham@audubonportland.org,503-292-6855,"52815 NE Marmot Rd. Sandy, OR","5151 NW Cornell Rd Portland, OR. 97210",Yes,"PPS, David Douglas, Beaverton, NWRegional",Average 5 weeks per school year,,"No, we are able to host additional schools",,,,,,,,Yes,http://audubonportland.org/trips-classes-camps/school-programs/overnight,"Common Core State Standards, Oregon Science Standards (Next Generation Science Standards)",,,Yes,Yes,All staff are CPR/1st Aid. Some are Wilderness First Responders,,Yes,,Yes,97,60,same,Negotiable,"Vegetarian, Gluten Free, any allergies",Negotiable,,,No,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,,"Forested areas, Meadowland, Trails",Campfire space(s),60+,"Access to water (lake, pond, river, stream, etc.)",Creek,,,,,,,iabraham@audubonportland.org,,,Arthur Academy – Portland,,-122.120207,45.399835,
B'nai B'rith Camp,B'nai Brith Men's Camp Association,Lincoln,www.bbcamp.org,Michelle Koplan,Executive Director,mkoplan@bbcamp.org,503-452-3444,3509 NE East Devil's Lake Rd.,"9400 SW Beaverton-Hillsdale Hwy., Suite #147",No,,,,,,,Yes,"Polk County & Corbett Middle School, 2011, 2012",We were told that the district didn't have have funding,Yes,,No,,,"Climbing Tower, Zip Line, Tennis Courts, High Ropes Course, Art Studio & Ceramics Studio, Pool, Archery, Canoeing, Kayaking, Lake Activities, Basketball Gym, Game Room, Flexible Meeting Spaces, Ball field, Fire Ring, Outdoor Amphitheater, Playgrounds",Yes,Yes,Yes,Negotiable,Yes,Yes,Yes,Yes,14,250+,310,Yes,We accommodate all special diets,Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,"The Lakeside Lodge has 4 double occupancy rooms with private bathrooms/ showers in each.  the Mendelson Lodge has 6 singel bedrooms and two doubel occupancy derooms with shared bathroom facilities. The Lake House has 4 bedrooms, 3 bathrooms, and sleeps 10.  And, one of our cabins is divided into 8 single rooms with a shared bathroom.","Ropes course, Climbing wall, Pool, Forested areas, Meadowland, Trails",Campfire space(s),250,"Access to water (lake, pond, river, stream, etc.)",We are on the shores of Devil's Lake,Covered outdoor spaces,"Outdoor amphitheater stage, 40 x 20",Other amenities/resources,See above,Our location is perfect for multiple field trips up and down the central coast.,,"Michelle Koplan: mkoplan@bbcamp.org, Max Barenberg: mbarenberg@bbcamp.org",,,,,,,
Mountain Lakes Bible Camp,Bible Baptist Church,Klamath,MountainLakesCamp.org,Kraig Kroeker,Camp Pastor,mlbc@bbcministries.com,5418858161,"21200 Varney Creek Road, Klamath Falls, OR 97601",4849 South 6th Street,Yes,"Ashland School District, Medford School District, Klamath County School District, Triad School","6 Weeks, 1200 students",,"Yes, we are at full capacity",,,,,,,,No,,,"Ropes Course, Zip Line, Challenge Course",,Yes,No,No,Yes,Yes,Yes,Yes,10,120,135,Yes,"Veggetarian, Gluten Free",No,,"3 or less of sleeping units, Toilets, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities, Meeting Hall","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,Lodge,"Ropes course, Climbing wall, Pool, Forested areas, Trails",Campfire space(s),200,,,,,Other amenities/resources,Outside Basketball court,,,,,,"Ashland Middle School – Ashland, Phoenix Elementary School – Phoenix, The Triad School – Klamath Falls, Hedrick Middle School – Medford, Oak Grove Elementary School – Medford",,-122.1190018,42.4204824,
Blue Mountain 4-H Center,Blue Mountain 4-H Center,Union,http://extension.oregonstate.edu/union/blue-mountain-4-h-center-union-county-extension-service,,,,541-963-1010,"66501 End Rd, Summerville OR 97876","10507 McAlister Rd, Rm 9, La Grande OR 97850",,,,,,,,,,,,,,,,,,,,,,,,,80,140,175,yes,,,,"3 or less of sleeping units, dining hall, other: nurses station",,,,Unheated cabins,"Showers in separate bathroom facility, Plumbed toilets in separate bathroom facility",,,,,,Forested areas,campfire spaces,,Access to water,End creek,,,,,,,,,Campsites only,Stella Mayfield Elementary School – Elgin,,-118.051760,45.464691,
Camp Magruder,"Board of Camp & Retreat Ministries, United Methodist Church",Tillamook,www.campmagruder.org,Steve Rumage,Camp Director,steve@campmagruder.org,503-355-2310,"17450 Old Pacific Highway, Rockaway Beach, OR 97136","17450 Old Pacific Highway, Rockaway Beach, OR 97136",Yes,"Forest Grove Community, St. Luke, Portland Adventist Elementary, Visitation, Lakeridge, Highland Park, Tobias, Brookwood, Butternut Creek, Ladd Acres, Conestoga, Lake Oswego, Farmington View, Reedville, Mooberry, Aloha Huber Park, Lewis, Springville, Estacada, St. Joseph, Athey Creek, Trost, Eccles, Knight, Lee, St. John the Apostle, Laurel Ridge, Quatama, Indian Hills, Minter Bridge, West Union, Health & Science, Mountain View, Lincoln Street, Free Orchards, Eastwood, Imlay, Gardiner, Sunnyside Environmental","Currently 20 weeks and 4,000+ students",,,,,,,,,,No,,,"Crafts Lodge, Lake, Pond, Marsh, and Ocean Studies, Tide Pools, Forest & plant succession, Team Building, Archery, Boating, GaGa, Basketball, Volleyball, Horseshoes, Tetherball, Big Rope Swing, Slip & Slide, Hiking Trails, Wildlife viewing & tracking",,Yes,Negotiable,Negotiable,Yes,Yes,Yes,Yes,160,276,400,Yes,We are extremely accommodating,Yes,Member CCCA,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s), Sports Court",Would need more information to determine,Yes,"Dedicated caretaker, assistive devices as required","All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit","Two family/ADA bathrooms with showers for those staying in cabins without plumbing, two units with ADA bathrooms & showers in the building","Winter, Spring, Fall",,Yes,Separate housing units are available for adults and staff,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),"1 - 250+, 1 - 100, 3 - 75, 1 - 40","Access to water (lake, pond, river, stream, etc.)",There are two freshwater lakes on the camp property and 1/2 mile of undeveloped ocean frontage,Covered outdoor spaces,"2 - 10 x 16, 1 - 16 x 24",Other amenities/resources,Several large indoor meeting spaces,"We employ three professional chefs and serve excellent meals that teachers and students love, schools return year after year.  The camp has been offering and supporting outdoor education programs since 1970.  We currently partner with NWRESD and also host several independent and parochial school programs.","Camp Latgawa (southern Oregon), Suttle Lake Camp (Sisters), Wallowa Lake Camp (Joseph)",Steve Rumage - steve@campmagruder.org,,,"Aloha-Huber Park School – Aloha, Bethany Charter School – Silverton, Brookwood Elementary School – Hillsboro, Butternut Creek Elementary School – Aloha, Conestoga Middle School – Beaverton, Eastwood Elementary School – Hillsboro, Eccles Elementary School – Canby, Estacada Middle School – Estacada, Falls City Elementary School – Falls City, Farmington View Elementary School – Hillsboro, Forest Grove Community School – Forest Grove, Free Orchards Elementary School – Cornelius, Gardiner Middle School – Oregon City, Groner K-8 – Hillsboro, Hazelbrook Middle School – Tualatin, Health and Science School – Beaverton, Indian Hills Elementary School – Aloha, Knight Elementary School – Canby, Ladd Acres Elementary School – Hillsboro, Lakeridge Middle School – Lake Oswego, Laurel Ridge Middle School – Sherwood, Lee Elementary School – Canby, Lewis Elementary School – Portland, Meadow Park Middle School – Beaverton, Minter Bridge Elementary School – Hillsboro, Molalla River Academy – Molalla, Mooberry Elementary School – Hillsboro, Mountain View Middle School – Beaverton, Multi-sensory Instruction Teaching Children Hands-On (MITCH) – Tigard, Portland Adventist Elementary School – Gresham, Quatama Elementary School – Hillsboro, Reedville Elementary School – Aloha, Springville K-8 School – Beaverton, St Francis Of Assisi School – Banks, St Joseph School – Salem, Tobias Elementary School – Aloha, Trost Elementary School – Canby, Visitation Catholic School – Forest Grove, West Union Elementary School – Hillsboro, Whitford Middle School – Beaverton",,-123.949895,45.578877,Gaffney Lane Elementary School – Oregon City
Camp Morrow,Board of Directors,Wasco,www.campmorrow.org,Jason Birman,Program Administrator,jason@campmorrow.org,541-544-2971,"79551 Morrow Rd. Wamic, OR 97063","79551 Morrow Rd. Wamic, OR 97063",Yes,South Wasco,1,,"No, we are able to host additional schools",,,,,,,,No,,,"Archery, equine activities, boating, bb guns, paintball",Yes,Maybe - need more information,Negotiable,No,Yes,Negotiable,Negotiable,Yes,80,110,150,Yes,"Gluten, dairy, & nut free",Negotiable,CCCA,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s), Meeting Hall",Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities, Meeting Hall","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,3 cabins with queen beds,"Forested areas, Trails",Campfire space(s),100,"Access to water (lake, pond, river, stream, etc.)","Lake front property, creek runs through our property into lake",,,Other amenities/resources,"30'x60' meeting hall (multipurpose room, chairs/tables can be set up to meet the needs of the group",,,,,,,,-121.3085881,45.2489065,
Hull Park and Retreat Center,Board of Directors and Members,Multnomah,www.hullparkfortheblind.org,Sharon Elder,Executive Director,sharonelder@oralhull.org,5036686195,"43233 SE Oral Hull Road, Sandy, OR 97055",PO Box 157,Yes,NW Regional BVIS of Oregon,2 weeks   20-30 kids,,,,,No,,,,,No,,,,Yes,Yes,Negotiable,Negotiable,Yes,Yes,Yes,Yes,22,48,100,Yes,most all,Negotiable,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,Yes,Swimming pool lift,"All sleeping units, Dining hall, Bathroom facilities, Swimming pool","Portable chemical toilets, Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,No,,"Pool, Forested areas, Meadowland, Trails",Campfire space(s),36-48,"Access to water (lake, pond, river, stream, etc.)",Stocked trout pond and a wild/natural pond,Covered outdoor spaces,covered picnic shelter 60'x30',Other amenities/resources,"Outdoor game court with horseshoes, bocce ball, swings,",Located at the foot of the Mt. Hood National Forest with old growth forests.  Open year-round.,"Camp Collins, Arawana,",Sharon Elder      sharonelder@oralhull.org,,Sold and is now New Frontier Ranch,,,-122.217073,45.399458,
