Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Female,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Male,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),All Grades,4,50.0,1,12.5,3,37.5,2,25.0,2,25.0,8,100.0
2016-2017,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,White,All Grades,4,66.7,1,16.7,3,50.0,2,33.3,0,0.0,6,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,55,75.3,19,26.0,36,49.3,11,15.1,7,9.6,75,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Female,All Grades,58,85.3,25,36.8,33,48.5,8,11.8,2,2.9,68,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Hispanic/Latino,All Grades,16,69.6,6,26.1,10,43.5,2,8.7,5,21.7,25,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,English Learners,All Grades,3,42.9,1,14.3,2,28.6,1,14.3,3,42.9,9,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Male,All Grades,35,67.3,15,28.8,20,38.5,10,19.2,7,13.5,54,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
