SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
4759,"7/1/2016",1,1894,227,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Baker Early College",-
4728,"7/1/2016",1,1894,1032,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Baker Web Academy",-
3493,"7/1/2016",1,1894,23,2944,3243,11,743,910,,123,168,13,866,1078,,29.42,33.24,"Baker","Baker SD 5J","EAGLE CAP Innovative HS",-
5,"7/1/2016",1,1894,25,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Keating Elementary School",-
3347,"7/1/2016",1,1896,34,34,3243,,,910,,,168,10,10,1078,,,33.24,"Baker","Burnt River SD 30J","Burnt River School",-
4637,"7/1/2016",2,1901,110,6697,8786,,1985,2779,,355,537,0,2340,3316,,34.94,37.74,"Benton","Corvallis SD 509J","Inavale Community Partners dba Muddy Creek Charter School ",-
18,"7/1/2016",2,1900,32,1592,8786,13,521,2779,,116,537,15,637,3316,,40.01,37.74,"Benton","Philomath SD 17J","Blodgett Elementary School",-
3440,"7/1/2016",2,1900,183,1592,8786,68,521,2779,,116,537,71,637,3316,,40.01,37.74,"Benton","Philomath SD 17J","Kings Valley Charter School",-
4760,"7/1/2016",3,1930,305,2793,59069,,738,14687,,146,3370,0,884,18057,,31.65,30.57,"Clackamas","Estacada SD 108","Summit Community College High School",-
4670,"7/1/2016",3,1930,806,2793,59069,,738,14687,,146,3370,0,884,18057,,31.65,30.57,"Clackamas","Estacada SD 108","Summit Learning Charter",-
53,"7/1/2016",3,1923,442,7084,59069,31,456,14687,,134,3370,35,590,18057,,8.33,30.57,"Clackamas","Lake Oswego SD 7J","Forest Hills Elementary School",-
