Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Econo. Disadvantaged,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Female,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Male,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,Total Population (All Students),All Grades,4,50.0,1,12.5,3,37.5,2,25.0,2,25.0,8,100.0
2016-2017,2063,Adel SD 21,498,Adel Elementary School,Mathematics,White,All Grades,4,66.7,1,16.7,3,50.0,2,33.3,0,0.0,6,100.0
