school,city,county,district,esd,governance,ods.participation,ods.grades,ods.camp,ods.days,ods.nights,ods.academic.component,ods.total.students,curriculum.outside.provider,curriculum.school.district.staff,curriculum.volunteers,staffing.provider.staff,staffing.hs.mentors,staffing.parents.volunteers,staffing.community.experts,staffing.other,ela.numeric,math.numeric,science.numeric,frl,pct.white,lon,lat,ods.camp_1,ods.camp_2,ods.camp_3,ods.camp_4,ods.camp_5
Abiqua School,Salem,Marion,Private,Private,Private,Yes,6,Jawbone Flats,2,1,"Yes, and it CONNECTS TO STATE STANDARDS",62,,,,Yes,No,No,No,No,,,,,,-123.0652661,44.8541593,Jawbone Flats,,,,
Abraham Lincoln Elementary School,Medford,Jackson,Medford SD 549C,Southern Oregon ESD,Public,Yes,6,Coastal Discovery Center at Camp Gray,2,1,"Yes, and it CONNECTS TO STATE STANDARDS",61,Yes,No,No,Yes,No,Yes,No,No,0.561,0.485,0.8640000000000001,0.3493,0.79,-122.8371293,42.3631217,Coastal Discovery Center at Camp Gray,,,,
Adams Elementary School,Corvallis,Benton,Corvallis SD 509J,Linn Benton Lincoln ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",52,Yes,No,No,Yes,No,Yes,No,No,0.684,0.6679999999999999,0.8,0.25920000000000004,0.8,-123.288431,44.5512401,Coastal Discovery Center at Camp Gray,,,,
Adams Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",64,Yes,No,No,Yes,No,Yes,No,No,0.629,0.583,0.8959999999999999,0.4048,0.8009999999999999,-123.1079449,44.0349581,Coastal Discovery Center at Camp Gray,,,,
Adrian Elementary School,Adrian,Malheur,Adrian SD 61,Malheur ESD Region 14,Public,Yes,6,McCall Outdoor Science School,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",25,,,,,,,,,0.775,0.642,0.946,0.645,0.76,-117.0709903,43.7414763,McCall Outdoor Science School,,,,
Advanced Christian Academy,Gresham,Multnomah,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.4228701,45.5140983,,,,,
Adventist Christian School,Klamath Falls,Klamath,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-121.761616,42.228909,,,,,
Agia Sophia Academy,Beaverton,Washington,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.8258702,45.5134675,,,,,
Agnes Stewart Middle School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,Yes,6,Kiwanis Sky Camp,2,0,"Yes, and it CONNECTS TO STATE STANDARDS",200,Yes,Yes,No,Yes,No,Yes,Yes,No,0.408,0.252,0.5760000000000001,0.6939,0.6459999999999999,-122.9822257,44.0378031,Kiwanis Sky Camp,,,,
Aiken Elementary School,Ontario,Malheur,Ontario SD 8C,Malheur ESD Region 14,Public,No,"",,,,,,,,,,,,,,0.34600000000000003,0.27699999999999997,0.45299999999999996,0.8066,0.315,-116.983104,44.028985,,,,,
Alameda Elementary School,Ontario,Malheur,Ontario SD 8C,Malheur ESD Region 14,Public,No,"",,,,,,,,,,,,,,0.39799999999999996,0.336,0.479,0.8586,0.36700000000000005,-116.981799,44.017568,,,,,
Alameda Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,5,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",52,Yes,No,No,Yes,No,Yes,No,No,0.828,0.7829999999999999,0.9209999999999999,,0.841,-122.6373356,45.5477062,Hancock Field Station,,,,
Albany Christian School,Albany,Linn,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.1000413,44.6359929,,,,,
Alder Creek Middle School,Milwaukie,Clackamas,North Clackamas SD 12,Clackamas ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek,Camp Westwind",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",330,Yes,No,No,Yes,Yes,No,No,No,0.45299999999999996,0.3,0.473,0.4681,0.637,-122.5946087,45.4232298,Cedar Ridge,Trickle Creek,Camp Westwind,,
Alice Ott Middle School,Portland,Multnomah,David Douglas SD 40,Multnomah ESD,Public,Yes,6,Camp Arrah Wanna,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",176,Yes,No,No,Yes,No,No,No,No,0.607,0.53,0.7120000000000001,0.7155,0.445,-122.5346485,45.4794874,Camp Arrah Wanna,,,,
All Saints School,Portland,Multnomah,Private,Private,Private,Yes,6,"Camp Arrah Wanna,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",50,Yes,No,No,Yes,No,No,No,No,,,,,,-122.6234992,45.5273586,Camp Arrah Wanna,Camp Namanu,,,
Alliance Charter Academy,Oregon City,Clackamas,Oregon City SD 62,Clackamas ESD,Public,Yes,"",,,,,,,,,,,,,,0.737,0.563,0.711,,0.856,-122.5792682,45.3737134,,,,,
Aloha-Huber Park School,Aloha,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",56,Yes,Yes,No,Yes,No,No,No,No,0.451,0.475,0.447,0.7938,0.258,-122.8538441,45.483953,Camp Magruder,,,,
Alsea Elementary School,Alsea,Benton,Alsea SD 7J,Linn Benton Lincoln ESD,Public,Yes,6,Camp Tadmor,5,4,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",9,Yes,No,Yes,No,Yes,Yes,Yes,No,0.115,0.14800000000000002,0.3,0.7670999999999999,0.863,-123.5946008,44.3812429,Camp Tadmor,,,,
Amity Creek Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,No,No,No,No,0.6779999999999999,0.5529999999999999,0.7929999999999999,0.2353,0.8759999999999999,-121.3180828,44.0552024,Camp Tamarack,,,,
Amity Elementary School,Amity,Yamhill,Amity SD 4J,Willamette ESD,Public,Yes,5,LaPine State Park,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",56,Yes,Yes,No,No,Yes,Yes,No,No,0.39399999999999996,0.42,0.466,0.6006,0.799,-123.203213,45.122507,LaPine State Park,,,,
Annex Charter School,Ontario,Malheur,Annex SD 29,Malheur ESD Region 14,Public,No,"",,,,,,,,,,,,,,0.235,0.157,0.231,0.8081999999999999,0.562,-116.987087,44.237356,,,,,
