name,participation,number,pct,highlight_color
Clackamas ESD,Yes,32,0.76,#004c97
Columbia Gorge ESD,Yes,4,0.5,#004c97
Douglas ESD,Yes,4,0.2,#909090
Grant ESD,Yes,2,0.67,#004c97
Harney ESD,Yes,2,0.2,#909090
High Desert ESD,Yes,30,0.88,#004c97
InterMountain ESD,Yes,22,0.79,#004c97
Jefferson ESD,Yes,4,0.8,#004c97
Lake ESD,Yes,3,0.5,#004c97
Lane ESD,Yes,27,0.42,#909090
Linn Benton Lincoln ESD,Yes,31,0.69,#004c97
Malheur ESD Region 14,Yes,2,0.17,#909090
Multnomah ESD,Yes,73,0.94,#004c97
North Central ESD,Yes,3,0.5,#004c97
Northwest Regional ESD,Yes,66,0.82,#004c97
South Coast ESD,Yes,1,0.07,#909090
Southern Oregon ESD,Yes,29,0.47,#909090
Willamette ESD,Yes,53,0.47,#909090
